row_id,plot,offset_m,bearing_deg,notes
1,main,0.0,160.5,1-й ряд ділянки Main
2,main,3.5,160.5,2-й ряд ділянки Main
3,main,7.0,160.5,3-й ряд ділянки Main
4,main,10.5,160.5,4-й ряд ділянки Main
5,main,14.0,160.5,5-й ряд ділянки Main
6,main,17.5,160.5,6-й ряд ділянки Main
7,main,21.0,160.5,7-й ряд ділянки Main
1,house,10.0,160.5,1-й спільний ряд на ділянці House
2,house,12.5,160.5,2-й спільний ряд на ділянці House
перед городом,house,2.0,160.5,Ряд перед городом
біля хати,house,0.0,160.5,Ряд безпосередньо біля хати
