tree_id,plot,row,distance_m,crop,variety,rootstock,planted_year,status,notes
H-H.M01,house,біля хати,1,Груша,осіння (з ліцею),,2000,прижилося,
H-H.M04,house,біля хати,4,Яблуня,невідомо,,2000,прижилося,
H-G.M06,house,перед городом,6,Шовковиця,Біла (Morus alba),,2023,прижилося,
H-G.M10,house,перед городом,10,Фундук,Джедай,,2022,прижилося,
H-G.M12,house,перед городом,12,Фундук,Ланцелот,,2022,прижилося,
H-G.M14,house,перед городом,14,Фундук,Джедай,,2022,прижилося,
H-G.M16,house,перед городом,16,Фундук,Ланцелот,,2022,прижилося,
H-G.M58,house,перед городом,58,Слива,Венгерка,,2023,прижилося,
H-G.M63,house,перед городом,63,Нектарин,Big Top,,2026,посаджено,
H-G.M69,house,перед городом,69,Груша,Дюшес літній,,2023,прижилося,
H-R1.M02,house,1,2,Гортензія,,,2023,сумнівно,декоративний кущ
H-R1.M04,house,1,4,Малина,,,2023,прижилося,ягідник
H-R1.M06,house,1,6,Малина,,,2023,прижилося,ягідник
H-R1.M09,house,1,9,Смородина,,,2023,прижилося,ягідник
H-R1.M11,house,1,11,Аґрус,,,2023,прижилося,ягідник
H-R1.M13,house,1,13,Аґрус,,,2023,прижилося,ягідник
H-R1.M15,house,1,15,Аґрус,,,2023,прижилося,ягідник
H-R1.M17,house,1,17,Смородина,,,2023,прижилося,ягідник
H-R1.M19,house,1,19,Аґрус,,,2023,прижилося,ягідник
H-R1.M21,house,1,21,Смородина,,,2023,прижилося,ягідник
H-R1.M23,house,1,23,Жимолость,Дует,,2023,прижилося,ягідник
H-R1.M25,house,1,25,Жимолость,Блакитне Веретено,,2023,прижилося,ягідник
H-R1.M26,house,1,26,Жимолость,Югана,,2026,посаджено,ягідник
H-R1.M66,house,1,66,Смородина,Дана,,2026,посаджено,ягідник
H-R1.M68,house,1,68,Жимолость,Бореал Бьюті,,2026,посаджено,ягідник
H-R1.M70,house,1,70,Жимолость,Honey Bee,,2026,посаджено,ягідник
H-R1.M72,house,1,72,Жимолость,Honey Bee,,2026,посаджено,ягідник
H-R1.M73,house,1,73,Жимолость,Аврора,,2026,посаджено,ягідник
H-R1.M74,house,1,74,Йошта,,,2023,прижилося,ягідник
H-R2.M02,house,2,2,Волоський горіх,Велетень,,2023,прижилося,
H-R2.M07,house,2,7,Волоський горіх,Велетень,,2023,прижилося,
H-R2.M13,house,2,13,Волоський горіх,Велетень,,2023,прижилося,
H-R2.M16,house,2,16,Форзиція,Maluch,,2024,прижилося,декоративний кущ
H-R2.M19,house,2,19,Волоський горіх,Жовква,,2023,прижилося,
H-R2.M24,house,2,24,Еводія,Даніеля,,2024,сумнівно,медонос
H-R2.M29,house,2,29,Форзиція,Maluch,,2024,прижилося,декоративний кущ
H-R2.M33,house,2,33,Еводія,Даніеля,,2024,сумнівно,медонос
H-R2.M38,house,2,38,Каштан,їстівний,,2026,сумнівно,
H-R2.M44,house,2,44,Каштан,їстівний,,2026,сумнівно,
H-R2.M49,house,2,49,Волоський горіх,Кочерженко,,2026,посаджено,3-річний
H-R2.M54,house,2,54,Волоський горіх,Кочерженко,,2026,посаджено,3-річний
M-R1.M35,main,1,35,Черешня,2024,,2025,прижилося,
M-R1.M39,main,1,39,Черешня,2024,,2025,прижилося,
